"createDt","deathCnt","defCnt","gubun","gubunCn","gubunEn","incDec","isolClearCnt","isolIngCnt","localOccCnt","overFlowCnt","qurRate","seq","stdDay","updateDt"
2020-12-22,"6","708","대전","大田","Daejeon","9","577","125","9","0","48.03","6512","2020년 12월 22일 00시","null"
2020-12-22,"3","905","광주","光州","Gwangju","26","755","147","26","0","62.13","6511","2020년 12월 22일 00시","null"
2020-12-22,"19","2381","인천","仁川","Incheon","45","1617","745","44","1","80.54","6510","2020년 12월 22일 00시","null"
2020-12-22,"200","7557","대구","大邱","Daegu","39","7098","259","39","0","310.16","6509","2020년 12월 22일 00시","null"
2020-12-22,"28","1539","부산","釜山","Busan","26","1039","472","26","0","45.11","6508","2020년 12월 22일 00시","null"
2020-12-22,"144","15356","서울","首<U+5C14>","Seoul","317","8562","6650","309","8","157.76","6507","2020년 12월 22일 00시","null"
2020-12-22,"722","51458","합계","合<U+8BA1>","Total","867","35928","14808","822","45","99.25","6506","2020년 12월 22일 00시","2020-12-23 09:38:20.903"
2020-12-22,"1","2361","검역","隔離區","Lazaretto","18","1658","702","0","18","-","6505","2020년 12월 22일 00시","null"
2020-12-22,"0","271","제주","<U+6D4E>州","Jeju","19","103","168","19","0","40.40","6504","2020년 12월 22일 00시","null"
2020-12-22,"3","1095","경남","<U+5E86>南","Gyeongsangnam-do","18","768","324","18","0","32.58","6503","2020년 12월 22일 00시","null"
2020-12-22,"61","2094","경북","<U+5E86>北","Gyeongsangbuk-do","59","1721","312","58","1","78.65","6502","2020년 12월 22일 00시","null"
2020-12-22,"5","513","전남","全南","Jeollanam-do","5","425","83","4","1","27.51","6501","2020년 12월 22일 00시","null"
2020-12-22,"7","692","전북","全北","Jeollabuk-do","4","452","233","4","0","38.08","6500","2020년 12월 22일 00시","null"
2020-12-22,"19","1305","충남","忠南","Chungcheongnam-do","17","974","312","15","2","61.49","6499","2020년 12월 22일 00시","null"
2020-12-22,"15","834","충북","忠北","Chungcheongbuk-do","31","441","378","30","1","52.14","6498","2020년 12월 22일 00시","null"
2020-12-22,"13","999","강원","江原","Gangwon-do","23","709","277","23","0","64.85","6497","2020년 12월 22일 00시","null"
2020-12-22,"181","12152","경기","京畿","Gyeonggi-do","206","8608","3363","193","13","91.71","6496","2020년 12월 22일 00시","null"
2020-12-22,"0","130","세종","世宗","Sejong","1","122","8","1","0","37.98","6495","2020년 12월 22일 00시","null"
